url,rawtitle,subfolder,link,title
,,business,,
,,jobapps,,
,,psychology,,
,,zen,,
,,psychology,,
,,jobapps,,
,,cooking,,
,,creative,,
https://www.instagram.com/p/Cvugpy3sYSf/?igshid=NTc4MTIwNjQ2YQ==,9 levels of pull-ups,fitness,Cvugpy3sYSf,9 levels of pullups
https://www.instagram.com/p/CupDKFypOlh/?igshid=NTc4MTIwNjQ2YQ==,Chickpea chocolate spread:,cooking,CupDKFypOlh,Chickpea chocolate spread
https://www.instagram.com/p/CvaEcfmpxdt/?igshid=NTc4MTIwNjQ2YQ==,Make your own date paste for spreading,cooking,CvaEcfmpxdt,Make your own date paste for spreading
https://www.instagram.com/reel/CtW3zAbgzCD/?igshid=NTc4MTIwNjQ2YQ==,4 reasons you don't keep a promise,motivational,CtW3zAbgzCD,4 reasons you dont keep a promise
https://www.instagram.com/reel/Cvz-knxx76F/?igshid=NTc4MTIwNjQ2YQ==,"do small talk, acknowledge before respond",jobapps,Cvz-knxx76F,do small talk acknowledge before respond
https://www.instagram.com/reel/CvqErETumde/?igshid=NTc4MTIwNjQ2YQ==,answer why are you leaving your current role,jobapps,CvqErETumde,answer why are you leaving your current role
https://www.instagram.com/reel/Cucq5S1oMIE/?igshid=NTc4MTIwNjQ2YQ==,just one meeting one decision one small change away,motivational ,Cucq5S1oMIE,just one meeting one decision one small change away
https://www.instagram.com/reel/CvDSAlstPxX/?igshid=NTc4MTIwNjQ2YQ==,3 day fast for protein autophagy ,fitness,CvDSAlstPxX,3 day fast for protein autophagy 
https://www.instagram.com/reel/CsfD-OGJfQb/?igshid=NTc4MTIwNjQ2YQ==,create a true mirror for an experience,psychology,CsfD-OGJfQb,create a true mirror for an experience
https://www.instagram.com/reel/Cs1J4RyMFOX/?igshid=NTc4MTIwNjQ2YQ==,write goals in the present tense,psychology,Cs1J4RyMFOX,write goals in the present tense
https://www.instagram.com/reel/CuB9qM3AZzo/?igshid=NTc4MTIwNjQ2YQ==,how to hold contractors responsible,business,CuB9qM3AZzo,how to hold contractors responsible
https://www.instagram.com/reel/Cvc5_zrIVzx/?igshid=NTc4MTIwNjQ2YQ==,work out by holding and lowering weights,fitness,Cvc5_zrIVzx,work out by holding and lowering weights
https://www.instagram.com/reel/CwJs69XhkgP/?igshid=NTc4MTIwNjQ2YQ==,corporate small talk is important,jobapps,CwJs69XhkgP,corporate small talk is important
https://www.instagram.com/reel/CsgrqPWI5GW/?igshid=NTc4MTIwNjQ2YQ==,Cleaning hacks,lifehacks,CsgrqPWI5GW,Cleaning hacks
https://www.instagram.com/p/CumyJqyPP62/?igshid=NTc4MTIwNjQ2YQ==,How to massage lower back,lifehacks,CumyJqyPP62,How to massage lower back
https://www.instagram.com/reel/Cu7NhydubeU/?igshid=NTc4MTIwNjQ2YQ==,3 good qus at the end of an interview,jobapps,Cu7NhydubeU,3 good qus at the end of an interview
https://www.instagram.com/reel/Cu2dI2JNHRF/?igshid=NTc4MTIwNjQ2YQ==,How law ruined the world (illegal to pay higher wages and reinvest),polecon,Cu2dI2JNHRF,How law ruined the world (illegal to pay higher wages and reinvest)
https://www.instagram.com/p/CuU9iR3SQ0D/?igshid=NTc4MTIwNjQ2YQ==,Sweet potato brownies,cooking,CuU9iR3SQ0D,Sweet potato brownies
https://www.instagram.com/reel/Crilll-vLQi/?igshid=NTc4MTIwNjQ2YQ==,Empty bottle hacks,lifehacks,Crilll-vLQi,Empty bottle hacks
https://www.instagram.com/reel/Cs_bqwiLZnJ/?igshid=NTc4MTIwNjQ2YQ==,Deleted scenes from squid game,humour,Cs_bqwiLZnJ,Deleted scenes from squid game